"","x"
"strive",7
"taught",7
"temporari",7
"theyll",7
"thorough",7
"thrust",7
"transfer",7
"triumph",7
"twenti",7
"undermin",7
"unwil",7
"veto",7
"victim",7
"wholli",7
"wife",7
"worri",7
"wouldnt",7
"addict",6
"allegi",6
"allianc",6
"altogeth",6
"anxious",6
"arent",6
"august",6
"award",6
"bentsen",6
"bigger",6
"boston",6
"bought",6
"brave",6
"breez",6
"burthen",6
"candor",6
"caribbean",6
"cattl",6
"center",6
"cession",6
"chapter",6
"charter",6
"cheer",6
"cherish",6
"chiefli",6
"china",6
"christma",6
"coal",6
"cocain",6
"colon",6
"commend",6
"compact",6
"confeder",6
"conscious",6
"conspicu",6
"consum",6
"consumm",6
"consumpt",6
"correspond",6
"cultiv",6
"damag",6
"deceas",6
"deleg",6
"deplor",6
"despis",6
"detect",6
"devis",6
"director",6
"directori",6
"disappear",6
"disast",6
"discard",6
"disciplin",6
"distanc",6
"domin",6
"drawn",6
"drove",6
"durabl",6
"efficaci",6
"elder",6
"elev",6
"enlarg",6
"eulog",6
"everywher",6
"exempt",6
"explan",6
"extinguish",6
"facilit",6
"factori",6
"fallen",6
"fals",6
"fifth",6
"fisheri",6
"flow",6
"fought",6
"fuel",6
"genuin",6
"geograph",6
"georgia",6
"gold",6
"gorbachev",6
"habitu",6
"hemispher",6
"hog",6
"hurt",6
"immigr",6
"inch",6
"indiffer",6
"inevit",6
"inferior",6
"inner",6
"inquiri",6
"intrins",6
"invok",6
"jim",6
"johnston",6
"judiciari",6
"kennedi",6
"knock",6
"legitim",6
"lessen",6
"lifetim",6
"lobbi",6
"magic",6
"match",6
"mingl",6
"missil",6
"mobil",6
"modif",6
"moscow",6
"most",6
"motion",6
"multipli",6
"narrow",6
"newli",6
"nomin",6
"northwest",6
"notion",6
"nullif",6
"obey",6
"occupi",6
"offend",6
"omiss",6
"outlin",6
"ownership",6
"packag",6
"page",6
"partial",6
"pecuniari",6
"permiss",6
"persist",6
"petti",6
"philosophi",6
"plenti",6
"profound",6
"prudent",6
"qualifi",6
"quick",6
"reclaim",6
"registr",6
"rendezv",6
"repel",6
"replac",6
"reproach",6
"rice",6
"root",6
"ruin",6
"scene",6
"signific",6
"size",6
"slow",6
"spanish",6
"spite",6
"stabl",6
"stake",6
"status",6
"statut",6
"storm",6
"strike",6
"structur",6
"subsequ",6
"suitabl",6
"summon",6
"surviv",6
"suscept",6
"suspend",6
"sweep",6
"tabl",6
"terribl",6
"thrown",6
"tire",6
"titleaddress",6
"tongu",6
"traffick",6
"unfair",6
"unnecessari",6
"unpreced",6
